Direction,Axis,Mean,StdDev,Chi2_Stat,Degrees_of_Freedom,p_value,Result
Left,X,34.87370167855104,0.6424145331345184,8.987518554563982,7,0.2535534068469324,Accepted
Left,Y,-16.988098793045694,0.7794931318631846,15.344576218984724,7,0.031827548118466775,Rejected
Left,Theta,-0.9354268686510822,0.06682119350227828,41.870663823335526,7,5.506799689580788e-07,Rejected
Right,X,35.45981904655613,0.5844127484364828,9.854308636505337,7,0.19698111097298743,Accepted
Right,Y,16.245083536978374,0.848321962627166,17.324907902046256,7,0.01541706494379147,Rejected
Right,Theta,0.9242490894273412,0.04115517606342145,17.552984399249283,7,0.014158160190779867,Rejected
Straight,X,46.92542751780158,0.8705247603850064,26.94425136816881,7,0.000341068029092062,Rejected
Straight,Y,-0.11370144284738018,0.5599148814791549,13.02970066973782,7,0.07138803793098414,Accepted
Straight,Theta,-0.005576784251702104,0.02019687293356321,14.030884798197718,7,0.05063475606526524,Accepted
