Lx,Ly,Rx,Ry,X,Y,Theta
36.8,22.5,29.2,28.5,35.62445440880475,15.33430891781936,0.9025069079643124
36.5,22.0,29.0,28.1,35.29622443710707,14.9469972587382,0.8879780158157429
36.4,22.7,28.7,28.6,35.25331579193893,15.422971457276233,0.9169863048553687
37.3,24.5,29.6,30.2,36.244652541971135,17.05417974968031,0.9335581841292795
36.5,22.9,29.0,28.2,35.667936676298666,15.165004730611326,0.9556100886829226
36.4,23.5,28.4,31.3,34.48310906070617,17.709599036621718,0.7980557152315002
36.1,23.6,28.5,34.3,33.57460201698191,20.204390217669392,0.6175922734591563
37.9,26.5,29.8,31.5,37.12564249383094,18.378540840006124,1.017764882644256
35.6,23.2,28.1,29.2,34.43960417187448,16.06200521484309,0.8960553845713439
36.3,25.4,28.3,31.0,35.24310982389303,17.79729974841862,0.9600703624056877
37.0,23.2,29.6,29.0,35.94351652373577,15.919314185455985,0.9060218319775508
35.5,23.5,28.0,29.3,34.428941276775404,16.191734409623372,0.912528358960172
36.8,23.5,29.3,29.4,35.68383862477986,16.2769135060761,0.9042385079652134
37.2,25.0,29.2,30.2,36.33958038089165,17.064739047525602,0.9944211062037132
36.3,23.7,28.2,29.0,35.37205905549737,15.82616572632617,0.9913895000732796
36.8,23.4,29.1,29.2,35.69855665243126,16.038601073055293,0.9252205321816412
36.4,24.0,28.4,29.6,35.34310982389303,16.39729974841862,0.9600703624056879
